Iter,PSNR,SSIM,Loss
228,14.23,0.367,0.087
229,14.22,0.367,0.087
230,14.25,0.368,0.087
231,14.23,0.369,0.087
232,14.24,0.368,0.087
233,14.24,0.368,0.087
234,14.23,0.368,0.087
235,14.21,0.367,0.087
236,14.22,0.368,0.087
237,14.28,0.369,0.087
238,14.26,0.369,0.087
239,14.25,0.370,0.087
240,14.25,0.368,0.087
